dataset,problem,expected,predicted,is_correct,model_raw_output
integer,9 - -79,88.0,28.0,False,28
integer,-15 + 3,-12.0,-12.0,True,-12
integer,-86 + -23,-109.0,-109.0,True,-109
integer,34 - 9,25.0,25.0,True,25
integer,78 + 61,139.0,139.0,True,139
integer,99 + -81,18.0,18.0,True,18
integer,91 - 27,64.0,64.0,True,64
integer,-35 + -5,-40.0,-40.0,True,-40
integer,33 - -1,34.0,32.0,False,32
integer,-44 + -79,-123.0,-123.0,True,-123
integer,-18 + 70,52.0,52.0,True,52
integer,-59 + 7,-52.0,-52.0,True,-52
integer,14 + 34,48.0,48.0,True,48
integer,-95 + 32,-63.0,-63.0,True,-63
integer,56 - 0,56.0,56.0,True,56
integer,88 + -78,10.0,10.0,True,10
integer,-5 - 47,-52.0,-52.0,True,-52
integer,22 + 45,67.0,67.0,True,67
integer,64 + 98,162.0,162.0,True,162
integer,-83 + 33,-50.0,50.0,False,50
integer,-72 - 66,-138.0,6.0,False,6
integer,-93 + -5,-98.0,-98.0,True,-98
integer,84 + -36,48.0,48.0,True,48
integer,29 + 58,87.0,87.0,True,87
integer,53 + -72,-19.0,-19.0,True,-19
integer,-49 - 27,-76.0,-76.0,True,-76
integer,7 + -46,-39.0,-39.0,True,-39
integer,-24 + -33,-57.0,-57.0,True,-57
integer,-48 + -41,-89.0,-89.0,True,-89
integer,-35 + -62,-97.0,-97.0,True,-97
integer,-89 + -34,-123.0,-123.0,True,-123
integer,-71 - -15,-56.0,-56.0,True,-56
integer,67 - 100,-33.0,-33.0,True,-33
integer,51 + -43,8.0,8.0,True,8
integer,5 + -62,-57.0,-57.0,True,-57
integer,-90 - 88,-178.0,-98.0,False,-98
integer,13 + -63,-50.0,-50.0,True,-50
integer,-29 + -14,-43.0,-43.0,True,-43
integer,-21 - 11,-32.0,-32.0,True,-32
integer,-89 - -69,-20.0,20.0,False,20
integer,78 - -68,146.0,10.0,False,10
integer,50 - 41,9.0,9.0,True,9
integer,-54 - 84,-138.0,-138.0,True,-138
integer,82 + 71,153.0,153.0,True,153
integer,-87 + -79,-166.0,-166.0,True,-166
integer,-9 + -17,-26.0,-26.0,True,-26
